"years","rec_low","rec_value","rec_upp","ssb_low","ssb_val","ssb_upp","Bio","F_low","F_val","F_upp","catch","landings","discards"
1960,424615.4,470010,515404.6,155924.2,181241,206557.8,280645,0.04855438,0.0600249,0.07149542,16072.5084,16072.5084,0
1961,424055,469480,514905,151870.2,176795,201719.8,273910,0.05463324,0.067777,0.08092076,17654.6136,17654.6136,0
1962,423297.2,468772,514246.8,146571.2,171164,195756.8,265823,0.05570804,0.069371,0.08303396,17552.6575,17552.6575,0
1963,422489.8,468027,513564.2,141251.4,165599,189946.6,258332,0.06234246,0.0779415,0.09354054,19138.6102,19138.6102,0
1964,421488.8,467113,512737.2,135058.2,159230,183401.8,249888,0.0832626,0.10477,0.1262774,24657.9786,24657.9786,0
1965,419797.8,465586,511374.2,125520.8,149564,173607.2,236679,0.1012248,0.128663,0.1561012,28516.3698,28516.3698,0
1966,417379.2,463445,509510.8,113765.2,137751,161736.8,220629,0.0855886,0.10974,0.1338914,23073.9494,23073.9494,0
1967,415544.8,461869,508193.2,106071.6,130122,154172.4,211278,0.0790752,0.101878,0.1246808,20771.2814,20771.2814,0
1968,414133.2,460687,507240.8,100733.6,124904,149074.4,205360,0.0764758,0.0988012,0.1211266,19769.0341,19769.0341,0
1969,413048,459799,506550,96925.2,121237,145548.8,201349,0.0711878,0.0920792,0.1129706,18254.2582,18254.2582,0
1970,412417,459304,506191,94807,119277,143747,199546,0.04520284,0.0582523,0.07130176,11707.0847,11707.0847,0
1971,413232,460030,506828,97491.6,122171,146850.4,204759,0.04248768,0.054378,0.06626832,11267.382,11267.382,0
1972,414257.8,460926,507594.2,101105,125926,150747,210548,0.099004,0.127007,0.15501,26100.0001,26100.0001,0
1973,8310,261556,514802,95380,120148,144916,201376,0.1408306,0.18368,0.2265294,34799.9999,34799.9999,0
1974,11230,251456,491682,83375.8,108074,132772.2,176653,0.1008718,0.134925,0.1689782,22800,22800,0
1975,13609,243043,472477,77301.4,101688,126074.6,160737,0.143759,0.200272,0.256785,29500,29500,0
1976,15773,232977,450181,63738.8,87217.8,110696.8,136541,0.1428598,0.211342,0.2798242,26100.0001,26100.0001,0
1977,17309,226917,436525,50331.2,73113,95894.8,115630,0.0934244,0.143974,0.1945236,15500,15500,0
1978,18505,231767,445029,43716.3,65907.9,88099.5,105973,0.0868278,0.134379,0.1819302,13400,13400,0
1979,21181,244655,468129,39236.7,60540.7,81844.7,99335,0.1198696,0.184039,0.2482084,17000,17000,0
1980,25019,250947,476875,33535.82,53479.2,73422.58,90413,0.1537102,0.2338,0.3138898,19500,19500,0
1981,61090,301804,542518,27362.88,45564.1,63765.32,80374.3,0.1457022,0.215326,0.2849498,16499.9999,16499.9999,0
1982,103186.2,273723,444259.8,24169.3,40455.5,56741.7,76341.4,0.1909852,0.263199,0.3354128,17592.4087,17592.4087,0
1983,105909.8,222433,338956.2,22833.9,36569.5,50305.1,71715.9,0.273134,0.367972,0.46281,22949.6789,22949.6789,0
1984,110853.6,225682,340510.4,19079.6,30138.7,41197.8,60692,0.300035,0.415325,0.530615,22179.4255,22179.4255,0
1985,101686.4,210797,319907.6,14373.3,23611.5,32849.7,50484.7,0.3150608,0.434382,0.5537032,18940.9999,18940.9999,0
1986,100056.4,250260,400463.6,11163.26,19117.2,27071.14,42697,0.3344962,0.462772,0.5910478,17161,17161,0
1987,35375,163263,291151,8564.1,15389.3,22214.5,37947.7,0.3534878,0.503045,0.6526022,16185.0001,16185.0001,0
1988,148993.2,287486,425978.8,6658.4,12200.6,17742.8,32442.5,0.4379122,0.619447,0.8009818,16653,16653,0
